time_1,time_2,claro_uem,nublado_uem,int_uem,claro_dindiza,nublado_dindiza,int_dindiza,claro_massangena,nublado_massangena,int_massangena,claro_pomene,nublado_pomene,int_pomene,claro_maravia,nublado_maravia,int_maravia,claro_nhangau,nublado_nhangau,int_nhangau,claro_nhapassa_1,nublado_nhapassa_1,int_nhapassa_1,claro_lugela_1,nublado_lugela_1,int_lugela_1,claro_chomba,nublado_chomba,int_chomba,claro_nanhupo_1,nublado-nanhupo_1,int_nanhupo_1,claro_massangulo_1,nublado_massangulo_1,int_massangulo_1
10:21:00,,,,0.663092783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:22:00,,,,1.20516176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:23:00,,,,0.364771322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:24:00,,,,1.1931451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:25:00,,,,1.23875426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:26:00,,,,1.263380879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:27:00,,,,0.58909882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:28:00,,,,1.183462211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:29:00,,,,0.92965046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:30:00,,,,0.650273212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:31:00,,,,1.182718944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:32:00,,,,1.167337481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:33:00,,,,1.167177742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:34:00,,,,1.16566348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:35:00,,,,1.164174757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:36:00,,,,1.212130364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:37:00,,,,0.880209534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:38:00,,,,0.754525423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:39:00,,,,1.170782307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:40:00,,,,1.172136627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:41:00,,,,1.173509586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:42:00,,,,1.200799156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:43:00,,,,1.234855776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:44:00,,,,1.218541173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:45:00,,,,1.19820906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:46:00,,,,1.187442769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:47:00,,,,1.179432209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:48:00,,,,1.176876696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:49:00,,,,1.155406996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:50:00,,,,1.170495736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:51:00,,,,1.199079891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:52:00,,,,1.235726631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:53:00,,,,1.233241254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:54:00,,,,1.221357693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:55:00,,,,1.220281258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:56:00,,,,1.212508404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:57:00,,,,1.196712537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:58:00,,,,0.599876671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:59:00,,,,1.198789113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00:00,,,,1.199187832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:01:00,,,,0.943888992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:02:00,,,,0.262218757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:03:00,,,,0.247322556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:04:00,,,,0.243139742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:05:00,,,,0.300377836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:06:00,,,,1.198038787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:07:00,,,,1.2012597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:08:00,,,,1.061930619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:09:00,,,,0.340888293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:10:00,,,,0.39657996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:11:00,,,,1.234278416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:12:00,,,,1.137884151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:13:00,,,,1.097416586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:14:00,,,,1.092865505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:15:00,,,,1.118865553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:16:00,,,,1.111696741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:17:00,,,,1.113838016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:18:00,,,,1.131901577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:19:00,,,,1.156595829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:20:00,,,,1.154805612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:00,,,,1.151714244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:22:00,,,,1.123502587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:23:00,,,,1.099301754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:24:00,,,,1.088361837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:25:00,,,,1.090669185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:26:00,,,,1.090352555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:27:00,,,,1.094020468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:28:00,,,,1.097706946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:29:00,,,,1.097450172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:30:00,,,,1.101175233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:31:00,,,,1.103598927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:32:00,,,,1.098123019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:33:00,,,,1.092670515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:34:00,,,,1.08855895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:35:00,,,,1.087107203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:36:00,,,,1.097548991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:37:00,,,,1.092181257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:38:00,,,,1.086833795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:39:00,,,,1.086783412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:40:00,,,,1.084115904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:41:00,,,,1.086743744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:42:00,,,,1.090711192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:43:00,,,,1.096018511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:44:00,,,,1.092113356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:45:00,,,,1.09350495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:46:00,,,,1.096235797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:47:00,,,,1.093710969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:48:00,,,,1.095163603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:49:00,,,,1.097957168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:50:00,,,,1.103412623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:51:00,,,,1.102289229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:52:00,,,,1.099866327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:53:00,,,,1.100104078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:54:00,,,,1.10036255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:55:00,,,,1.101963431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:56:00,,,,1.103584809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:57:00,,,,1.102584947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:58:00,,,,1.101604147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:59:00,,,,1.100643359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00:00,,,,1.102349973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:01:00,,,,1.102754256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:02:00,,,,1.10185479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:03:00,,,,1.102300502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:04:00,,,,1.100116608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:05:00,,,,1.097951428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:06:00,,,,1.098457873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:07:00,,,,1.102967302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:08:00,,,,1.09820565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:09:00,,,,1.101432691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:10:00,,,,1.102024344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:11:00,,,,1.101306827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:12:00,,,,1.103271545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:13:00,,,,1.101263198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:14:00,,,,1.100606863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:15:00,,,,1.102635636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:16:00,,,,1.106023187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:17:00,,,,1.104094199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:18:00,,,,1.104855945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:19:00,,,,1.104303135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:20:00,,,,1.103769182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:21:00,,,,1.103255088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:22:00,,,,1.105441448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:23:00,,,,1.104969171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:24:00,,,,1.104517811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
